account_id,trustline_status,balance,traded_in,trades_total,trades_as_base,trades_as_counter,snapshot_min_ledger,snapshot_max_ledger,methodology_version
GAJIO55Z56JCFANWSP6BDGMPNUYWEOWCNGDMMCTDH3A4XEUL72LWW772,no trustline at pull,,2026-02 + 2026-08,11,7,4,64211133,64211152,1.0.5-draft
GAJTBADJGRHH557BLISRHWRSAW3ZPGXN4UK2TOPBVTJEDD6ZYQLQYREA,no trustline at pull,,2026-08,1,0,1,64211133,64211152,1.0.5-draft
GAK5KWQTTYCIOYZ4BAY6YFF6O5TG3UNQ73AVYMLK62WTASRVSSGKSCSD,no trustline at pull,,2026-02,5,4,1,64211133,64211152,1.0.5-draft
GAKFQBLRL2XQ7XTW5645CA4EFWZMHQG5VR6QBZALVFAVC7T3QTJUZ4KI,no trustline at pull,,2026-08,1,0,1,64211133,64211152,1.0.5-draft
GAL6OAYMEISR5ASHEQLXWLEXBD236EEXBOWRSYV4ZXE6MLBS4X4QDYCU,no trustline at pull,,2026-02,266,94,172,64211133,64211152,1.0.5-draft
GALHF53GCYWGURCXO55SJ45PG2UV2SX3W4ACYLGVLJ4PEIEJ2ZZQ74IT,no trustline at pull,,2026-02,1,1,0,64211133,64211152,1.0.5-draft
GALL45K35HS2KSHWDFVMIFCCGQVDLMY2BWNK7CTMPAKADOTHYQ5SZS7Q,no trustline at pull,,2026-08,1,0,1,64211133,64211152,1.0.5-draft
GALMOTUVDYGDSJZWI7FZCLD7DC7DHYTPZ7AAIVRPP5KNVPVLBJLCAPSI,no trustline at pull,,2026-08,78,31,47,64211133,64211152,1.0.5-draft
GALTA4AQOCVCCYGQLPYJV5KWSBP2OUFQG47GGI2KDID72TF2XHZAISBU,no trustline at pull,,2026-08,38,29,9,64211133,64211152,1.0.5-draft
GALVH3VMM5Q3MEZPSEH7XI4HQLYRBRFJQYLMPGGYNA4D7HBRJNGWTTGZ,no trustline at pull,,2026-02 + 2026-08,4,3,1,64211133,64211152,1.0.5-draft
GALWVT2JSDIWEX7AP2HTDPNKX542UFURPAPCCEXFRDHDKEKEX2XYM3TC,no trustline at pull,,2026-02 + 2026-08,8,5,3,64211133,64211152,1.0.5-draft
GALXMUDWVFRXLQQVCPLFWS5IULKCJS637V5R7BVZGA2QFFSSQ35T3HLH,no trustline at pull,,2026-08,1,0,1,64211133,64211152,1.0.5-draft
GAMMQJQ6O6KQWPBATHLQWYEDCYKLNAV2D3XG5SQSVHJ6BTMQLSM5MSLE,no trustline at pull,,2026-08,1,0,1,64211133,64211152,1.0.5-draft
GANBKFJGGLOMHQPW2CK55BTWS3Q5JRCSJOCLMDHOO4YRAAZFXOLJBORU,no trustline at pull,,2026-02,2,2,0,64211133,64211152,1.0.5-draft
GANMIQKRY5IBWVW2LRSQENMM2QMYBZCA7JYDRKMLQFS5PRV34ZDWQBRO,"trustline open, zero balance",0.0000000,2026-08,1,0,1,64211133,64211152,1.0.5-draft
GANUMAF4ZXKRBGNOQPR33FKS4XQQ3JUMKKWXQR4KR4INWPFXF44QPIPH,no trustline at pull,,2026-02 + 2026-08,17,8,9,64211133,64211152,1.0.5-draft
GAO3OJZTD2TO75M3ORRGKU4AP6U52DSUWQ5WOMLTRL6GYLWDSPR5HOVB,no trustline at pull,,2026-08,17,12,5,64211133,64211152,1.0.5-draft
GAO6OA7JJ6WULHHSBX6PESA7AQFZVS7VNU2DJF5CNJZLDQCU423L64YO,no trustline at pull,,2026-08,1,1,0,64211133,64211152,1.0.5-draft
GAOJ273VPO2DYBIGJ4HXMD63WRF6S56JCRZTMZVTSTEUQ3XVQW6CKRFA,no trustline at pull,,2026-08,1,0,1,64211133,64211152,1.0.5-draft
GAORKTKZPLU2Q3EWFFMW6QL6CNQ3XOOLWVD4PDWIM3LMYTWPUAVOWG6G,no trustline at pull,,2026-02,69,38,31,64211133,64211152,1.0.5-draft
GAOYOAU4LEIPYDVELVI4MV62V4QVHVET3GPRXXJY6GVBTZXW476UWSEH,no trustline at pull,,2026-08,2,0,2,64211133,64211152,1.0.5-draft
GAPBYJXAN427H5BZMTVEDYUFEL3XICPAXIZLM7ONSRVKR74JLXGYKOMK,no trustline at pull,,2026-02,7,7,0,64211133,64211152,1.0.5-draft
GAPL7LIN6I3VAL7OOCNDUFZOYFNJDYS2O62M46DD7X6WHHBDMUTI73HW,holds a non-zero balance,1.2341568,2026-08,2,1,1,64211133,64211152,1.0.5-draft
GAQ6KSJNJUH4SCQPWWLUAYCCE7D5ZPZT4ZKWNJNDPWVLOEPKCU4QZVF2,"trustline open, zero balance",0.0000000,2026-08,129,86,43,64211133,64211152,1.0.5-draft
GAQIDZD7B6GTQNFRQZFCY4C2RZMZQZVUB6RUOQYKGB5QU6ZI2LGMX63Y,no trustline at pull,,2026-02 + 2026-08,7,4,3,64211133,64211152,1.0.5-draft
GAQP4A2J33P4JODP3BUJC6GJBZDU2EVD3RSJIDRRLCR72OS5PSUKSJFM,no trustline at pull,,2026-02,5,3,2,64211133,64211152,1.0.5-draft
GAQR2KPRAPRUB43JJ7QWWTHEWBFH55WBMEZBZNLZ3D23NVMPUMDAIMHM,no trustline at pull,,2026-08,2,0,2,64211133,64211152,1.0.5-draft
GAQWIKIIPMU7MCTG4BXUOQ2ERYJKXLOCMJLPVBLEJWWUIO7NGOFRUKU2,no trustline at pull,,2026-02,1,0,1,64211133,64211152,1.0.5-draft
GARFNNSANVO2U2TKPBGRVLEVS5DLRAI2CI5VVNRQYVB3RSILSJP2J4TZ,no trustline at pull,,2026-08,1,0,1,64211133,64211152,1.0.5-draft
GARUTRW4EM5OECFZXM4VIZQQRILJTYD5WYYGFAVG47OV6376L4I6EV37,no trustline at pull,,2026-02 + 2026-08,6,3,3,64211133,64211152,1.0.5-draft
GAS4LCR6B4WTBOGFFDQAPLE2QCYFRLXNHWW64NON2QXLRW4LUWBMQBMY,no trustline at pull,,2026-08,1,1,0,64211133,64211152,1.0.5-draft
GASAXWRQCKI5RRLBMFMUOV342DY4TKJM6DE6HZMLGOPKMZLKK43MMDXP,holds a non-zero balance,0.0516237,2026-02,1,0,1,64211133,64211152,1.0.5-draft
GASB76SYSIS6ERWG2CNZAFUBYXJPBQEE6VADWJTGOI3BDDCBNINPCTTS,no trustline at pull,,2026-02,147,38,109,64211133,64211152,1.0.5-draft
GATTKWTSOMYMREAAMOYWAQRJEMMOT2M2USYFPSRZ6M3WO3SB2SPLPTRQ,no trustline at pull,,2026-02 + 2026-08,8,5,3,64211133,64211152,1.0.5-draft
GATUKMTDJK7UHSTNNT2POZ3HK2FJRJZK557ONKX5GRVKDKGEBOP67H4F,no trustline at pull,,2026-08,5,2,3,64211133,64211152,1.0.5-draft
GATVFSGEEPPTV2DFM76WE6LVTKH7QTL4TSLX6L3T7BL3UC2VXRCVTBWS,"trustline open, zero balance",0.0000000,2026-02,3,3,0,64211133,64211152,1.0.5-draft
GAUIKGAXXRAEVOREIBTJU6YOSKU2RN4NLTCLQT536S676ANQWRO4R47H,no trustline at pull,,2026-02 + 2026-08,7,4,3,64211133,64211152,1.0.5-draft
GAUSKYGJEJE4DVB6ABJZXZYA3ONWHJ4Z67MHEEALGBRRKW2YC4KGEZ4T,no trustline at pull,,2026-02 + 2026-08,7,3,4,64211133,64211152,1.0.5-draft
