counter,id,ledger_close_time,base_amount,counter_amount,base_is_seller,price_n,price_d,trade_type
LGSr:GANE2MZDRECTZL3KXPO2SEQNOMPV3TXD6U6T2KQDOJKAWPWCKTF2LGST,276221600347553793-1,2026-09-07T07:19:20Z,0.0134421,0.0393593,False,393593,134421,liquidity_pool
LIBRE:GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY,276281132889772034-1,2026-09-08T04:49:15Z,0.0009864,1.0000000,False,10000000,9864,liquidity_pool
LIBRE:GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY,276279084190126082-0,2026-09-08T04:05:03Z,0.0009803,1.0000000,True,10000000,9803,liquidity_pool
LIBRE:GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY,276278379815333892-0,2026-09-08T03:49:51Z,0.0009830,1.0000000,True,10000000,9830,liquidity_pool
LIBRE:GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY,276276807858216962-1,2026-09-08T03:15:57Z,0.0009890,1.0000000,False,10000000,9890,liquidity_pool
LIBRE:GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY,276276129252552706-1,2026-09-08T03:01:14Z,0.0009863,1.0000000,False,10000000,9863,liquidity_pool
LIBRE:GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY,276275751295930370-0,2026-09-08T02:53:05Z,0.0009803,1.0000000,True,10000000,9803,liquidity_pool
LIBRE:GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY,276274986790961154-0,2026-09-08T02:36:29Z,0.0009830,1.0000000,True,10000000,9830,liquidity_pool
LIBRE:GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY,276273805675692034-0,2026-09-08T02:10:55Z,0.0009856,1.0000000,True,10000000,9856,liquidity_pool
LIBRE:GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY,276269068326428674-1,2026-09-08T00:28:16Z,0.0009917,1.0000000,False,10000000,9917,liquidity_pool
LIBRE:GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY,276268282347458562-1,2026-09-08T00:11:16Z,0.0009890,1.0000000,False,10000000,9890,liquidity_pool
LIBRE:GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY,276267655281795076-1,2026-09-07T23:57:39Z,0.0009863,1.0000000,False,10000000,9863,liquidity_pool
LIBRE:GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY,276267423353647106-0,2026-09-07T23:52:38Z,0.0009803,1.0000000,True,10000000,9803,liquidity_pool
LIBRE:GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY,276262140544393218-0,2026-09-07T21:58:10Z,0.0009830,1.0000000,True,10000000,9830,liquidity_pool
LIBRE:GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY,276261406104735748-0,2026-09-07T21:42:19Z,0.0009856,1.0000000,True,10000000,9856,liquidity_pool
LIBRE:GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY,276260199218688002-1,2026-09-07T21:16:00Z,0.0009916,1.0000000,False,10000000,9916,liquidity_pool
LIBRE:GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY,276259486254059524-1,2026-09-07T21:00:28Z,0.0009890,1.0000000,False,10000000,9890,liquidity_pool
LIBRE:GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY,276258446871969794-0,2026-09-07T20:37:59Z,0.0009829,1.0000000,True,10000000,9829,liquidity_pool
LIBRE:GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY,276257557813714946-0,2026-09-07T20:18:38Z,0.0009856,1.0000000,True,10000000,9856,liquidity_pool
LIBRE:GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY,276256466892492802-1,2026-09-07T19:54:50Z,0.0009916,1.0000000,False,10000000,9916,liquidity_pool
LIBRE:GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY,276255715273318402-1,2026-09-07T19:38:27Z,0.0009889,1.0000000,False,10000000,9889,liquidity_pool
LIBRE:GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY,276243212625018882-0,2026-09-07T15:07:03Z,0.0009829,1.0000000,True,10000000,9829,liquidity_pool
LIBRE:GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY,276241155333603329-2,2026-09-07T14:22:20Z,0.0014556,1.4729026,False,14729026,14556,liquidity_pool
LIBRE:GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY,276238097317662722-0,2026-09-07T13:15:55Z,0.0009817,1.0000000,True,10000000,9817,liquidity_pool
LIBRE:GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY,276238084432437250-1,2026-09-07T13:15:38Z,0.0010961,1.1100088,False,11100088,10961,liquidity_pool
LIBRE:GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY,276238020008005634-0,2026-09-07T13:14:16Z,0.0009814,1.0000000,True,10000000,9814,liquidity_pool
LIBRE:GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY,276237998532681730-1,2026-09-07T13:13:46Z,0.0010963,1.1105487,False,11105487,10963,liquidity_pool
LIBRE:GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY,276237427302502402-0,2026-09-07T13:01:26Z,0.0009811,1.0000000,True,10000000,9811,liquidity_pool
LIBRE:GAYCCWKECNGDRHYU3UTREBD2XLC3CUQN6FV22TKM4WCQER3IWR7TF5CY,276236881841278980-1,2026-09-07T12:49:33Z,0.0009871,1.0000000,False,10000000,9871,liquidity_pool
