verdict,pair,ledger,recorded_bids,recorded_asks,rebuilt_bids,rebuilt_asks,levels_match,prices_match,amounts_match,risk_match,offers_carried,offers_changed_after_target,offers_gone_unresolved,requests,explanation,error,recording,methodology_version,recorded_at,rebuilt_at,elapsed_seconds
MATCH,ARST:GCSAZVWXZKWS4XS223M5F54H2B6XPIIXZZGP7KEAIU6YSL5HDRGCI3DG/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302305,6,23,6,23,yes,yes,yes,yes,30,0,0,5,,,recordings/ledgercount-2026-09-06/ARST.GCSAZVWX-USDC.GA5ZSEJY/2026-09-06/64302305.json.gz,1.0.8-draft,2026-09-06T14:59:30Z,2026-09-06T15:04:44Z,314.732
MATCH,BRL:GDVKY2GU2DRXWTBEYJJWSFXIGBZV6AZNBVVSUHEPZI54LIS6BA7DVVSP/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302306,35,5,35,5,yes,yes,yes,yes,41,0,0,6,,,recordings/ledgercount-2026-09-06/BRL.GDVKY2GU-USDC.GA5ZSEJY/2026-09-06/64302306.json.gz,1.0.8-draft,2026-09-06T14:59:30Z,2026-09-06T15:04:46Z,316.251
PARTIAL,AQUA:GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302306,54,200,40,298,no,no,yes,yes,466,35,0,8,"level counts differ: recorded 54 bid / 200 ask, rebuilt 40 bid / 298 ask (a recorded side is at the endpoint limit and is a prefix)",,recordings/ledgercount-2026-09-06/AQUA.GBNZILST-USDC.GA5ZSEJY/2026-09-06/64302306.json.gz,1.0.8-draft,2026-09-06T14:59:31Z,2026-09-06T15:04:48Z,317.148
PARTIAL,USTRY:GCRYUGD5NVARGXT56XEZI5CIFCQETYHAPQQTHO2O3IQZTHDH4LATMYWC/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302306,15,11,14,11,no,no,yes,no,29,1,0,6,"level counts differ: recorded 15 bid / 11 ask, rebuilt 14 bid / 11 ask",,recordings/ledgercount-2026-09-06/USTRY.GCRYUGD5-USDC.GA5ZSEJY/2026-09-06/64302306.json.gz,1.0.8-draft,2026-09-06T14:59:31Z,2026-09-06T15:04:50Z,319.538
PARTIAL,XLM/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302327,200,200,729,1134,yes,no,yes,yes,4343,62,60,32,"bid 0 price differs: recorded 1829547/10000000, rebuilt 1827209/10000000",,recordings/ledgercount-2026-09-06/XLM.native-USDC.GA5ZSEJY/2026-09-06/64302327.json.gz,1.0.8-draft,2026-09-06T15:01:28Z,2026-09-06T15:06:28Z,300.005
PARTIAL,EURC:GDHU6WRG4IEQXM5NZ4BMPKOXHW76MZM4Y2IEMFDVXBSDP6SJY4ITNPP2/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302327,64,89,51,71,no,no,yes,no,133,29,2,6,"level counts differ: recorded 64 bid / 89 ask, rebuilt 51 bid / 71 ask",,recordings/ledgercount-2026-09-06/EURC.GDHU6WRG-USDC.GA5ZSEJY/2026-09-06/64302327.json.gz,1.0.8-draft,2026-09-06T15:01:29Z,2026-09-06T15:06:37Z,308.581
PARTIAL,PYUSD:GDQE7IXJ4HUHV6RQHIUPRJSEZE4DRS5WY577O2FY6YQ5LVWZ7JZTU2V5/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302327,21,17,19,13,no,no,yes,no,37,6,4,6,"level counts differ: recorded 21 bid / 17 ask, rebuilt 19 bid / 13 ask",,recordings/ledgercount-2026-09-06/PYUSD.GDQE7IXJ-USDC.GA5ZSEJY/2026-09-06/64302327.json.gz,1.0.8-draft,2026-09-06T15:01:29Z,2026-09-06T15:06:39Z,310.455
PARTIAL,AUDD:GDC7X2MXTYSAKUUGAIQ7J7RPEIM7GXSAIWFYWWH4GLNFECQVJJLB2EEU/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302327,11,5,9,5,no,yes,no,yes,20,3,0,6,"level counts differ: recorded 11 bid / 5 ask, rebuilt 9 bid / 5 ask",,recordings/ledgercount-2026-09-06/AUDD.GDC7X2MX-USDC.GA5ZSEJY/2026-09-06/64302327.json.gz,1.0.8-draft,2026-09-06T15:01:30Z,2026-09-06T15:06:41Z,311.026
PARTIAL,ARST:GCSAZVWXZKWS4XS223M5F54H2B6XPIIXZZGP7KEAIU6YSL5HDRGCI3DG/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302327,6,23,4,19,no,no,yes,no,24,6,0,5,"level counts differ: recorded 6 bid / 23 ask, rebuilt 4 bid / 19 ask",,recordings/ledgercount-2026-09-06/ARST.GCSAZVWX-USDC.GA5ZSEJY/2026-09-06/64302327.json.gz,1.0.8-draft,2026-09-06T15:01:31Z,2026-09-06T15:06:42Z,311.595
MATCH,BRL:GDVKY2GU2DRXWTBEYJJWSFXIGBZV6AZNBVVSUHEPZI54LIS6BA7DVVSP/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302327,35,5,35,5,yes,yes,yes,yes,41,0,0,6,,,recordings/ledgercount-2026-09-06/BRL.GDVKY2GU-USDC.GA5ZSEJY/2026-09-06/64302327.json.gz,1.0.8-draft,2026-09-06T15:01:31Z,2026-09-06T15:06:43Z,312.997
PARTIAL,AQUA:GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302327,53,200,40,314,no,no,yes,yes,482,19,0,8,"level counts differ: recorded 53 bid / 200 ask, rebuilt 40 bid / 314 ask (a recorded side is at the endpoint limit and is a prefix)",,recordings/ledgercount-2026-09-06/AQUA.GBNZILST-USDC.GA5ZSEJY/2026-09-06/64302327.json.gz,1.0.8-draft,2026-09-06T15:01:32Z,2026-09-06T15:06:45Z,313.958
PARTIAL,USTRY:GCRYUGD5NVARGXT56XEZI5CIFCQETYHAPQQTHO2O3IQZTHDH4LATMYWC/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302328,15,11,14,11,no,no,yes,no,29,1,0,6,"level counts differ: recorded 15 bid / 11 ask, rebuilt 14 bid / 11 ask",,recordings/ledgercount-2026-09-06/USTRY.GCRYUGD5-USDC.GA5ZSEJY/2026-09-06/64302328.json.gz,1.0.8-draft,2026-09-06T15:01:33Z,2026-09-06T15:06:48Z,315.404
PARTIAL,XLM/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302348,200,200,738,1140,yes,no,yes,yes,4360,55,30,32,"bid 0 price differs: recorded 5000000/27277687, rebuilt 18308600/99999000",,recordings/ledgercount-2026-09-06/XLM.native-USDC.GA5ZSEJY/2026-09-06/64302348.json.gz,1.0.8-draft,2026-09-06T15:03:28Z,2026-09-06T15:08:28Z,300.005
PARTIAL,EURC:GDHU6WRG4IEQXM5NZ4BMPKOXHW76MZM4Y2IEMFDVXBSDP6SJY4ITNPP2/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302348,64,88,50,62,no,no,yes,no,123,40,1,6,"level counts differ: recorded 64 bid / 88 ask, rebuilt 50 bid / 62 ask",,recordings/ledgercount-2026-09-06/EURC.GDHU6WRG-USDC.GA5ZSEJY/2026-09-06/64302348.json.gz,1.0.8-draft,2026-09-06T15:03:28Z,2026-09-06T15:08:38Z,310.223
PARTIAL,PYUSD:GDQE7IXJ4HUHV6RQHIUPRJSEZE4DRS5WY577O2FY6YQ5LVWZ7JZTU2V5/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302348,21,17,19,13,no,no,yes,no,37,6,1,6,"level counts differ: recorded 21 bid / 17 ask, rebuilt 19 bid / 13 ask",,recordings/ledgercount-2026-09-06/PYUSD.GDQE7IXJ-USDC.GA5ZSEJY/2026-09-06/64302348.json.gz,1.0.8-draft,2026-09-06T15:03:29Z,2026-09-06T15:08:39Z,310.983
PARTIAL,AUDD:GDC7X2MXTYSAKUUGAIQ7J7RPEIM7GXSAIWFYWWH4GLNFECQVJJLB2EEU/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302348,11,5,8,5,no,no,yes,no,18,5,0,6,"level counts differ: recorded 11 bid / 5 ask, rebuilt 8 bid / 5 ask",,recordings/ledgercount-2026-09-06/AUDD.GDC7X2MX-USDC.GA5ZSEJY/2026-09-06/64302348.json.gz,1.0.8-draft,2026-09-06T15:03:29Z,2026-09-06T15:08:41Z,312.593
PARTIAL,ARST:GCSAZVWXZKWS4XS223M5F54H2B6XPIIXZZGP7KEAIU6YSL5HDRGCI3DG/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302348,6,23,4,17,no,no,yes,no,22,8,0,5,"level counts differ: recorded 6 bid / 23 ask, rebuilt 4 bid / 17 ask",,recordings/ledgercount-2026-09-06/ARST.GCSAZVWX-USDC.GA5ZSEJY/2026-09-06/64302348.json.gz,1.0.8-draft,2026-09-06T15:03:30Z,2026-09-06T15:08:43Z,313.158
MATCH,BRL:GDVKY2GU2DRXWTBEYJJWSFXIGBZV6AZNBVVSUHEPZI54LIS6BA7DVVSP/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302348,35,5,35,5,yes,yes,yes,yes,41,0,0,6,,,recordings/ledgercount-2026-09-06/BRL.GDVKY2GU-USDC.GA5ZSEJY/2026-09-06/64302348.json.gz,1.0.8-draft,2026-09-06T15:03:31Z,2026-09-06T15:08:44Z,313.555
PARTIAL,AQUA:GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302349,57,200,56,314,no,no,yes,yes,498,3,0,8,"level counts differ: recorded 57 bid / 200 ask, rebuilt 56 bid / 314 ask (a recorded side is at the endpoint limit and is a prefix)",,recordings/ledgercount-2026-09-06/AQUA.GBNZILST-USDC.GA5ZSEJY/2026-09-06/64302349.json.gz,1.0.8-draft,2026-09-06T15:03:31Z,2026-09-06T15:08:46Z,315.502
PARTIAL,USTRY:GCRYUGD5NVARGXT56XEZI5CIFCQETYHAPQQTHO2O3IQZTHDH4LATMYWC/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302349,15,11,14,11,no,no,yes,no,29,1,0,6,"level counts differ: recorded 15 bid / 11 ask, rebuilt 14 bid / 11 ask",,recordings/ledgercount-2026-09-06/USTRY.GCRYUGD5-USDC.GA5ZSEJY/2026-09-06/64302349.json.gz,1.0.8-draft,2026-09-06T15:03:32Z,2026-09-06T15:08:48Z,316.703
PARTIAL,XLM/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302370,200,200,726,1139,yes,no,yes,yes,4348,49,32,32,"bid 0 price differs: recorded 1250000/6820259, rebuilt 1829757/10000000",,recordings/ledgercount-2026-09-06/XLM.native-USDC.GA5ZSEJY/2026-09-06/64302370.json.gz,1.0.8-draft,2026-09-06T15:05:28Z,2026-09-06T15:10:28Z,300.002
PARTIAL,EURC:GDHU6WRG4IEQXM5NZ4BMPKOXHW76MZM4Y2IEMFDVXBSDP6SJY4ITNPP2/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302370,65,87,63,58,no,no,yes,no,131,28,1,6,"level counts differ: recorded 65 bid / 87 ask, rebuilt 63 bid / 58 ask",,recordings/ledgercount-2026-09-06/EURC.GDHU6WRG-USDC.GA5ZSEJY/2026-09-06/64302370.json.gz,1.0.8-draft,2026-09-06T15:05:28Z,2026-09-06T15:10:37Z,309.531
PARTIAL,PYUSD:GDQE7IXJ4HUHV6RQHIUPRJSEZE4DRS5WY577O2FY6YQ5LVWZ7JZTU2V5/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302370,21,17,19,13,no,no,yes,no,37,6,1,6,"level counts differ: recorded 21 bid / 17 ask, rebuilt 19 bid / 13 ask",,recordings/ledgercount-2026-09-06/PYUSD.GDQE7IXJ-USDC.GA5ZSEJY/2026-09-06/64302370.json.gz,1.0.8-draft,2026-09-06T15:05:29Z,2026-09-06T15:10:39Z,310.121
PARTIAL,AUDD:GDC7X2MXTYSAKUUGAIQ7J7RPEIM7GXSAIWFYWWH4GLNFECQVJJLB2EEU/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302370,11,5,8,5,no,no,yes,no,18,5,0,7,"level counts differ: recorded 11 bid / 5 ask, rebuilt 8 bid / 5 ask",,recordings/ledgercount-2026-09-06/AUDD.GDC7X2MX-USDC.GA5ZSEJY/2026-09-06/64302370.json.gz,1.0.8-draft,2026-09-06T15:05:29Z,2026-09-06T15:10:40Z,311.912
PARTIAL,ARST:GCSAZVWXZKWS4XS223M5F54H2B6XPIIXZZGP7KEAIU6YSL5HDRGCI3DG/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302370,6,23,4,17,no,no,yes,no,22,8,0,5,"level counts differ: recorded 6 bid / 23 ask, rebuilt 4 bid / 17 ask",,recordings/ledgercount-2026-09-06/ARST.GCSAZVWX-USDC.GA5ZSEJY/2026-09-06/64302370.json.gz,1.0.8-draft,2026-09-06T15:05:30Z,2026-09-06T15:10:43Z,313.003
MATCH,BRL:GDVKY2GU2DRXWTBEYJJWSFXIGBZV6AZNBVVSUHEPZI54LIS6BA7DVVSP/USDC:GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,64302370,35,5,35,5,yes,yes,yes,yes,41,0,0,6,,,recordings/ledgercount-2026-09-06/BRL.GDVKY2GU-USDC.GA5ZSEJY/2026-09-06/64302370.json.gz,1.0.8-draft,2026-09-06T15:05:30Z,2026-09-06T15:10:44Z,314.371
