day,sample_source,target_ledger,sampled_at_utc,sample_offset_seconds,bids,asks,resting_offers,missing_offer_ids,fold_complete,price_source,p0,best_bid,best_ask,spread_pct,best_bid_amount,best_ask_amount,bid_amount_total,ask_amount_total,depth_buy_0.02,depth_sell_0.02,depth_buy_0.05,depth_sell_0.05,depth_buy_0.1,depth_sell_0.1,mc_cost_0.5,mc_target_0.5,mc_reachable_0.5,mc_cost_1,mc_target_1,mc_reachable_1,mc_cost_10,mc_target_10,mc_reachable_10,mc_cost_100,mc_target_100,mc_reachable_100,max_reachable_price,cost_to_max_reachable_price,band,band_confidence,flags,unevaluated_flags,methodology_version,data_source
2026-02-11,trades-csv,61176868,2026-02-11T00:06:47Z,407,7,2,9,203,false,book,1.05687470048744215,1.0563601980287515,1.0573892029461328,0.09736300025979538522675846,0.0000000946646798948006654562,0.0000001,694.0469969808501411107196672767,0.0000003,0.00000010573892029461328,0.00000319999999999999997128712243433991907849,0.00000010573892029461328,0.00000319999999999999997128712243433991907849,0.00000010573892029461328,0.00000319999999999999997128712243433991907849,0.00000010573892029461328,1.585312050731163225,true,0.00000010573892029461328,2.1137494009748843,true,0.00000010573892029461328,11.62562170536186365,true,0.00000010573892029461328,106.74434474923165715,true,2147483647,0.00000010573892029461328,CRITICAL,partial,MANIPULATION_CHEAP THIN_DEPTH_5PCT,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
2026-02-12,trades-csv,61191677,2026-02-12T00:06:04Z,364,7,2,9,203,false,book,1.05687470048744215,1.0563601980287515,1.0573892029461328,0.09736300025979538522675846,0.0000000946646798948006654562,0.0000001,694.0469969808501411107196672767,0.0000003,0.00000010573892029461328,0.00000319999999999999997128712243433991907849,0.00000010573892029461328,0.00000319999999999999997128712243433991907849,0.00000010573892029461328,0.00000319999999999999997128712243433991907849,0.00000010573892029461328,1.585312050731163225,true,0.00000010573892029461328,2.1137494009748843,true,0.00000010573892029461328,11.62562170536186365,true,0.00000010573892029461328,106.74434474923165715,true,2147483647,0.00000010573892029461328,CRITICAL,partial,MANIPULATION_CHEAP THIN_DEPTH_5PCT,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
2026-02-13,trades-csv,61206579,2026-02-13T00:19:24Z,1164,7,2,9,203,false,book,1.05687470048744215,1.0563601980287515,1.0573892029461328,0.09736300025979538522675846,0.0000000946646798948006654562,0.0000001,694.0469969808501411107196672767,0.0000003,0.00000010573892029461328,0.00000319999999999999997128712243433991907849,0.00000010573892029461328,0.00000319999999999999997128712243433991907849,0.00000010573892029461328,0.00000319999999999999997128712243433991907849,0.00000010573892029461328,1.585312050731163225,true,0.00000010573892029461328,2.1137494009748843,true,0.00000010573892029461328,11.62562170536186365,true,0.00000010573892029461328,106.74434474923165715,true,2147483647,0.00000010573892029461328,CRITICAL,partial,MANIPULATION_CHEAP THIN_DEPTH_5PCT,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
2026-02-14,trades-csv,61221451,2026-02-14T00:21:36Z,1296,7,2,9,203,false,book,1.05687470048744215,1.0563601980287515,1.0573892029461328,0.09736300025979538522675846,0.0000000946646798948006654562,0.0000001,694.0469969808501411107196672767,0.0000003,0.00000010573892029461328,0.00000319999999999999997128712243433991907849,0.00000010573892029461328,0.00000319999999999999997128712243433991907849,0.00000010573892029461328,0.00000319999999999999997128712243433991907849,0.00000010573892029461328,1.585312050731163225,true,0.00000010573892029461328,2.1137494009748843,true,0.00000010573892029461328,11.62562170536186365,true,0.00000010573892029461328,106.74434474923165715,true,2147483647,0.00000010573892029461328,CRITICAL,partial,MANIPULATION_CHEAP THIN_DEPTH_5PCT,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
2026-02-15,trades-csv,61236743,2026-02-15T01:04:33Z,3873,7,2,9,203,false,book,1.05687470048744215,1.0563601980287515,1.0573892029461328,0.09736300025979538522675846,0.0000000946646798948006654562,0.0000001,694.0469969808501411107196672767,0.0000003,0.00000010573892029461328,0.00000319999999999999997128712243433991907849,0.00000010573892029461328,0.00000319999999999999997128712243433991907849,0.00000010573892029461328,0.00000319999999999999997128712243433991907849,0.00000010573892029461328,1.585312050731163225,true,0.00000010573892029461328,2.1137494009748843,true,0.00000010573892029461328,11.62562170536186365,true,0.00000010573892029461328,106.74434474923165715,true,2147483647,0.00000010573892029461328,CRITICAL,partial,MANIPULATION_CHEAP THIN_DEPTH_5PCT,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
2026-02-16,trades-csv,61250942,2026-02-16T00:08:17Z,497,8,2,10,203,false,book,1.05710825208003665,1.0568273012139405,1.0573892029461328,0.05315460654920295084380226,0.0000000946228394034990393264,0.0000001,694.0469970754729805142187066031,0.0000003,0.00000010573892029461328,0.00000329999999999999996854793889060932875769,0.00000010573892029461328,0.00000329999999999999996854793889060932875769,0.00000010573892029461328,0.00000329999999999999996854793889060932875769,0.00000010573892029461328,1.585662378120054975,true,0.00000010573892029461328,2.1142165041600733,true,0.00000010573892029461328,11.62819077288040315,true,0.00000010573892029461328,106.76793346008370165,true,2147483647,0.00000010573892029461328,CRITICAL,partial,MANIPULATION_CHEAP THIN_DEPTH_5PCT,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
2026-02-17,trades-csv,61265749,2026-02-17T00:15:32Z,932,8,2,10,203,false,book,1.05710825208003665,1.0568273012139405,1.0573892029461328,0.05315460654920295084380226,0.0000000946228394034990393264,0.0000001,694.0469970754729805142187066031,0.0000003,0.00000010573892029461328,0.00000329999999999999996854793889060932875769,0.00000010573892029461328,0.00000329999999999999996854793889060932875769,0.00000010573892029461328,0.00000329999999999999996854793889060932875769,0.00000010573892029461328,1.585662378120054975,true,0.00000010573892029461328,2.1142165041600733,true,0.00000010573892029461328,11.62819077288040315,true,0.00000010573892029461328,106.76793346008370165,true,2147483647,0.00000010573892029461328,CRITICAL,partial,MANIPULATION_CHEAP THIN_DEPTH_5PCT,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
2026-02-18,trades-csv,61280403,2026-02-18T00:00:35Z,35,8,2,10,203,false,book,1.05710825208003665,1.0568273012139405,1.0573892029461328,0.05315460654920295084380226,0.0000000946228394034990393264,0.0000001,694.0469970754729805142187066031,0.0000003,0.00000010573892029461328,0.00000329999999999999996854793889060932875769,0.00000010573892029461328,0.00000329999999999999996854793889060932875769,0.00000010573892029461328,0.00000329999999999999996854793889060932875769,0.00000010573892029461328,1.585662378120054975,true,0.00000010573892029461328,2.1142165041600733,true,0.00000010573892029461328,11.62819077288040315,true,0.00000010573892029461328,106.76793346008370165,true,2147483647,0.00000010573892029461328,CRITICAL,partial,MANIPULATION_CHEAP THIN_DEPTH_5PCT,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
2026-02-19,trades-csv,61295329,2026-02-19T00:08:18Z,498,8,3,11,203,false,book,1.05710825208003665,1.0568273012139405,1.0573892029461328,0.05315460654920295084380226,0.0000000946228394034990393264,0.0000001,694.0469970754729805142187066031,19.0000003,20.10293110573892029461328,0.00000329999999999999996854793889060932875769,20.10293110573892029461328,0.00000329999999999999996854793889060932875769,20.10293110573892029461328,0.00000329999999999999996854793889060932875769,20.10293110573892029461328,1.585662378120054975,true,20.10293110573892029461328,2.1142165041600733,true,20.10293110573892029461328,11.62819077288040315,true,20.10293110573892029461328,106.76793346008370165,true,2147483647,20.10293110573892029461328,CRITICAL,partial,MANIPULATION_CHEAP THIN_DEPTH_5PCT,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
2026-02-20,trades-csv,61310263,2026-02-20T00:11:28Z,688,8,3,11,203,false,book,1.05710825208003665,1.0568273012139405,1.0573892029461328,0.05315460654920295084380226,0.0000000946228394034990393264,0.0000001,694.0469970754729805142187066031,0.025,0.00000010573892029461328,0.00000329999999999999996854793889060932875769,0.00000010573892029461328,0.00000329999999999999996854793889060932875769,0.00000010573892029461328,0.00000329999999999999996854793889060932875769,0.00000010573892029461328,1.585662378120054975,true,0.00000010573892029461328,2.1142165041600733,true,0.00000010573892029461328,11.62819077288040315,true,0.00000010573892029461328,106.76793346008370165,true,2147483647,12.52628076356722029461328,CRITICAL,partial,MANIPULATION_CHEAP THIN_DEPTH_5PCT,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
2026-02-21,trades-csv,61325141,2026-02-21T00:06:22Z,382,8,2,10,203,false,book,1.05710825208003665,1.0568273012139405,1.0573892029461328,0.05315460654920295084380226,0.0000000946228394034990393264,0.0000001,694.0469970754729805142187066031,0.0000003,0.00000010573892029461328,0.00000329999999999999996854793889060932875769,0.00000010573892029461328,0.00000329999999999999996854793889060932875769,0.00000010573892029461328,0.00000329999999999999996854793889060932875769,0.00000010573892029461328,1.585662378120054975,true,0.00000010573892029461328,2.1142165041600733,true,0.00000010573892029461328,11.62819077288040315,true,0.00000010573892029461328,106.76793346008370165,true,2147483647,0.00000010573892029461328,CRITICAL,partial,MANIPULATION_CHEAP THIN_DEPTH_5PCT,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
2026-02-22,trades-csv,61340172,2026-02-22T00:01:24Z,84,9,3,12,203,false,book,1.0571946014730664,1.057,1.0573892029461328,0.03681469292318510975040757,0.0001,0.0000001,694.0470970754729805142187066031,1.2185315,0.00000010573892029461328,0.00010899999999999999996854793889060932875769,0.00000010573892029461328,0.00010899999999999999996854793889060932875769,0.00000010573892029461328,0.00010899999999999999996854793889060932875769,0.00000010573892029461328,1.5857919022095996,true,0.00000010573892029461328,2.1143892029461328,true,0.00000010573892029461328,11.6291406162037304,true,130.06270940076228029461328,106.7766547487797064,true,2147483647,130.06270940076228029461328,CRITICAL,partial,MANIPULATION_CHEAP THIN_DEPTH_5PCT,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
,flag,61340262,,0,9,3,12,203,false,book,1.0571946014730664,1.057,1.0573892029461328,0.03681469292318510975040757,0.0001,0.0000001,694.0470970754729805142187066031,1.2185315,0.00000010573892029461328,0.00010899999999999999996854793889060932875769,0.00000010573892029461328,0.00010899999999999999996854793889060932875769,0.00000010573892029461328,0.00010899999999999999996854793889060932875769,0.00000010573892029461328,1.5857919022095996,true,0.00000010573892029461328,2.1143892029461328,true,0.00000010573892029461328,11.6291406162037304,true,130.06270940076228029461328,106.7766547487797064,true,2147483647,130.06270940076228029461328,CRITICAL,partial,MANIPULATION_CHEAP THIN_DEPTH_5PCT,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
,flag,61340263,,0,9,3,12,203,false,book,1.0571946014730664,1.057,1.0573892029461328,0.03681469292318510975040757,0.0001,0.0000001,694.0470970754729805142187066031,1.1684312,0.00000010573892029461328,0.00010899999999999999996854793889060932875769,0.00000010573892029461328,0.00010899999999999999996854793889060932875769,0.00000010573892029461328,0.00010899999999999999996854793889060932875769,0.00000010573892029461328,1.5857919022095996,true,0.00000010573892029461328,2.1143892029461328,true,0.00000010573892029461328,11.6291406162037304,true,124.71513951129744029461328,106.7766547487797064,true,2147483647,124.71513951129744029461328,CRITICAL,partial,MANIPULATION_CHEAP THIN_DEPTH_5PCT,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
2026-02-23,trades-csv,61355036,2026-02-23T00:00:33Z,33,9,4,13,203,false,book,1.05745208015698325,1.0575149573678337,1.0573892029461328,-0.01189220996966890663194778,0.0000000945613102711105832421,0.0000001,694.0469971700342907853292898452,1.1684321,0.00000105831962741690044,0.00000339999999999999997196132380164212839646,0.00000105831962741690044,0.00000339999999999999997196132380164212839646,0.00000105831962741690044,0.00000339999999999999997196132380164212839646,0.00000105831962741690044,1.586178120235474875,true,0.00000105831962741690044,2.1149041603139665,true,0.00000105831962741690044,11.63197288172681575,true,124.71514046387814741690044,106.80266009585530825,true,2147483647,124.71514046387814741690044,CRITICAL,partial,MANIPULATION_CHEAP THIN_DEPTH_5PCT,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
2026-02-24,trades-csv,61369919,2026-02-24T00:00:10Z,10,9,7,16,203,false,book,1.05745208015698325,1.0575149573678337,1.0573892029461328,-0.01189220996966890663194778,0.0000000945613102711105832421,0.0000001,694.0469971700342907853292898452,309.9961979,101.27984885048162741690044,0.00000339999999999999997196132380164212839646,101.27984885048162741690044,0.00000339999999999999997196132380164212839646,101.27984885048162741690044,0.00000339999999999999997196132380164212839646,101.27984885048162741690044,1.586178120235474875,true,101.27984885048162741690044,2.1149041603139665,true,101.27984885048162741690044,11.63197288172681575,true,7931.84168825604014741690044,106.80266009585530825,true,2147483647,53345.00692697840704741690044,CRITICAL,partial,MANIPULATION_CHEAP THIN_DEPTH_5PCT,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
2026-02-25,trades-csv,61385497,2026-02-25T00:58:31Z,3511,12,11,23,203,false,book,1.05755400759781655,1.0577188122495003,1.0573892029461328,-0.03116713671353690956847278,5240.2778158138205764610914976713,0.0000001,205718.2071754230789948736325418547,212416.8141806,225347.32091875819972799337487,216185.57136130000000312806171854038357503048606757,225347.32091875819972799337487,216185.57136130000000312806171854038357503048606757,225347.32091875819972799337487,216185.57136130000000312806171854038357503048606757,225347.32091875819972799337487,1.586331011396724825,true,225347.32091875819972799337487,2.1151080151956331,true,225347.32091875819972799337487,11.63309408357598205,true,233177.88275816375824799337487,106.81295476737947155,true,2147483647,278591.04799688612514799337487,LOW,partial,,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
2026-02-26,trades-csv,61400035,2026-02-26T00:23:34Z,1414,13,10,23,203,false,book,1.0575999868980664,1.05781077085,1.0573892029461328,-0.03986080834812184589581894,4894.6482075802168515954765538168,0.0000001,207653.8731602734056370606539469407,201569.545095,213845.07385893887503547190044,218238.45323230000001603186012005571430407966239179,213845.07385893887503547190044,218238.45323230000001603186012005571430407966239179,213845.07385893887503547190044,218238.45323230000001603186012005571430407966239179,213845.07385893887503547190044,1.5863999803470996,true,213845.07385893887503547190044,2.1151999737961328,true,213845.07385893887503547190044,11.6335998558787304,true,221675.63569834443355547190044,106.8175986767047064,true,2147483647,267088.80093706680045547190044,LOW,partial,,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
2026-02-27,trades-csv,61415216,2026-02-27T00:45:26Z,2726,14,10,24,203,false,book,1.0576319724980664,1.05787474205,1.0573892029461328,-0.04590813406674765400781363,4901.1569396700296235672631050302,0.0000001,213137.5844313116310719062560757903,202091.7229428,214412.78813114766070811190044,224041.55699869999999045787032692039621008853854499,214412.78813114766070811190044,224041.55699869999999045787032692039621008853854499,214412.78813114766070811190044,224041.55699869999999045787032692039621008853854499,214412.78813114766070811190044,1.5864479587470996,true,214412.78813114766070811190044,2.1152639449961328,true,214412.78813114766070811190044,11.6339516974787304,true,222243.34997055321922811190044,106.8208292223047064,true,2147483647,267656.51520927558612811190044,LOW,partial,,HOLDER_CONCENTRATION_EXTREME HOLDER_CONCENTRATION_HIGH MANIPULATION_RATIO_LOW NO_GENUINE_TRADE_30D NO_GENUINE_TRADE_7D WASH_TRADE_SUSPECTED,1.0.8-draft,offers-implied
