open_at,close_at,open_ledger,close_ledger,seconds
2026-02-05T03:12:50Z,2026-02-05T03:13:18Z,61088566,61088571,28.0
2026-02-05T04:12:47Z,2026-02-05T04:13:16Z,61089189,61089194,29.0
2026-02-05T05:12:48Z,2026-02-05T05:13:19Z,61089812,61089817,31.0
2026-02-05T06:12:48Z,2026-02-05T06:13:18Z,61090434,61090439,30.0
2026-02-05T07:12:46Z,2026-02-05T07:13:14Z,61091057,61091062,28.0
2026-02-05T08:12:45Z,2026-02-05T08:13:16Z,61091685,61091690,31.0
2026-02-05T09:12:44Z,2026-02-05T09:13:18Z,61092306,61092312,34.0
2026-02-05T10:12:50Z,2026-02-05T10:13:19Z,61092923,61092928,29.0
2026-02-05T11:12:49Z,2026-02-05T11:13:18Z,61093539,61093544,29.0
2026-02-05T12:12:45Z,2026-02-05T12:13:14Z,61094161,61094166,29.0
2026-02-05T13:12:47Z,2026-02-05T13:13:14Z,61094794,61094799,27.0
2026-02-05T14:12:45Z,2026-02-05T14:13:15Z,61095425,61095430,30.0
2026-02-05T15:12:47Z,2026-02-05T15:13:16Z,61096055,61096060,29.0
2026-02-05T16:12:47Z,2026-02-05T16:13:17Z,61096676,61096681,30.0
2026-02-05T17:12:50Z,2026-02-05T17:13:15Z,61097285,61097289,25.0
2026-02-05T18:12:43Z,2026-02-05T18:13:17Z,61097879,61097885,34.0
2026-02-05T19:12:49Z,2026-02-05T19:13:19Z,61098477,61098482,30.0
2026-02-05T20:12:48Z,2026-02-05T20:13:16Z,61099080,61099085,28.0
2026-02-05T21:12:44Z,2026-02-05T21:13:19Z,61099687,61099693,35.0
2026-02-05T22:12:44Z,2026-02-05T22:13:18Z,61100304,61100310,34.0
2026-02-05T23:12:51Z,2026-02-05T23:13:19Z,61100920,61100925,28.0
2026-02-06T00:12:50Z,2026-02-06T00:13:20Z,61101543,61101548,30.0
2026-02-06T01:12:46Z,2026-02-06T01:13:15Z,61102148,61102153,29.0
2026-02-06T02:12:50Z,2026-02-06T02:13:19Z,61102782,61102787,29.0
2026-02-06T03:12:46Z,2026-02-06T03:13:15Z,61103419,61103424,29.0
2026-02-06T04:12:45Z,2026-02-06T04:13:19Z,61104064,61104070,34.0
2026-02-06T05:12:46Z,2026-02-06T05:13:14Z,61104707,61104712,28.0
2026-02-06T06:12:49Z,2026-02-06T06:13:16Z,61105340,61105345,27.0
2026-02-06T07:12:47Z,2026-02-06T07:13:15Z,61105983,61105988,28.0
2026-02-06T08:12:47Z,2026-02-06T08:13:15Z,61106625,61106630,28.0
2026-02-06T09:12:48Z,2026-02-06T09:13:16Z,61107258,61107263,28.0
2026-02-06T10:12:46Z,2026-02-06T10:13:19Z,61107898,61107904,33.0
2026-02-06T11:12:50Z,2026-02-06T11:13:20Z,61108524,61108529,30.0
